codigo,nome,cientifico,grupo,Alfa-tocoferol (Vitamina E) (mg),Açúcar de adição (g),Carboidrato disponível (g),Carboidrato total (g),Cinzas (g),Cobre (mg),Colesterol (g),Colesterol (mg),Cálcio (mg),Energia (kJ),Energia (kcal),Equivalente de folato (mcg),Ferro (mg),Fibra alimentar (g),Fósforo (mg),Gordura de adição (g),Lipídios (g),Magnésio (mg),Niacina (mg),Potássio (mg),Proteína (g),Proteína animal (g),Proteína vegetal (g),Riboflavina (mg),Sal de adição (g),Selênio (mcg),Sódio (mg),Tiamina (mg),Umidade (g),Vitamina A (RAE) (mcg),Vitamina A (RE) (mcg),Vitamina B12 (mcg),Vitamina B6 (mg),Vitamina C (mg),Vitamina D (mcg),Zinco (mg),Ácidos graxos monoinsaturados (g),Ácidos graxos poliinsaturados (g),Ácidos graxos saturados (g),Ácidos graxos trans (g),Álcool (g)
C1170A,"Arroz com grãos, c/ arroz integral, c/ sal, (arroz integral, cevada, quinoa, linhaça, gergelim, c/ óleo de soja, cebola e alho, c/ sal),",,Cereais e derivados,0.38,0.47,19.2,24.1,1.28,0.17,0.00,,62.6,674,161,21.5,1.03,4.87,129,,6.19,63.2,0.60,156,4.70,,,0.03,,5.47,190,0.12,63.8,5.23,10.4,0.00,0.10,1.02,0.00,0.95,1.90,3.44,0.99,0.01,0.00
C0402F,"Bife à role, s/ sal, (carne, boi, lagarto, cozida, c/ cenoura e bacon, c/ molho de tomate (tomate, c/ óleo, cebola e alho), s/ sal),",,Carnes e derivados,0.81,0.00,1.09,1.82,0.95,0.06,,42.4,7.06,890,213,8.07,1.31,0.73,119,,13.0,12.9,2.21,254,22.7,,,0.01,0.00,0.10,122,0.03,61.6,48.4,95.1,1.88,0.02,4.07,0.00,4.33,5.26,2.21,4.50,0.19,0.00
C1010A,"Bolo, trigo e chocolate, c/ recheio, brigadeiro, caseiro, (bolo - farinha de trigo, achocolatado, leite, açúcar, manteiga, ovo e fermento em pó, recheio - leite condensado e chocolate),",,Cereais e derivados,0.58,,55.2,56.1,1.16,0.05,,93.1,99.1,1691,403,56.9,1.83,0.90,191,,17.0,21.8,0.34,206,6.83,,,0.19,0.00,5.11,165,0.10,18.9,116,104,0.25,0.02,0.55,0.39,0.74,5.11,1.58,7.62,1.40,0.00
C0310B,"Mandioca (aipim, macaxeira), s/ casca, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), s/ sal, Manihot esculenta Crantz,",,Vegetais e derivados,0.36,0.00,22.9,23.2,0.69,0.04,,0.00,17.1,471,111,11.6,0.15,1.93,25.3,,1.24,24.5,,141,0.86,,,0.01,0.00,0.46,81.6,0.07,72.0,18.9,37.8,0.00,0.04,12.9,0.00,0.19,0.31,0.69,0.22,,0.00
C0023N,"Pudim, baunilha, mistura p/, diet,",,Alimentos para fins especiais,0.00,0.00,86.1,87.6,0.77,,,0.00,48.6,1485,350,0.00,0.05,1.55,11.9,,0.00,16.9,0.00,17.9,0.55,,,0.00,0.00,,1751,0.00,11.1,0.00,,0.00,0.00,0.00,0.00,0.19,0.00,0.00,0.00,,0.00
C0071T,"Ervilha, grão, fresca, cozida, drenada, s/ óleo, s/ sal, Pisum sativum L.,",,Leguminosas e derivados,0.37,0.00,10.3,17.6,0.88,0.39,,0.00,23.8,381,91,75.4,3.05,7.26,163,,0.58,30.2,2.42,98.7,7.45,,,0.18,0.00,2.27,3.59,0.31,73.5,58.0,32.3,0.00,0.26,17.0,0.00,1.98,0.05,0.27,0.10,0.00,0.00
C0711A,"Arroz para sushi, vinagre de arroz, s/ óleo, c/ açúcar, c/ sal,",,Cereais e derivados,0.18,0.50,28.2,29.5,0.43,0.15,,0.00,5.96,588,139,2.65,0.34,1.25,22.3,,1.57,23.6,0.00,32.5,2.38,,,0.00,0.20,1.62,81.6,0.00,66.1,0.00,0.00,0.00,0.01,0.44,0.00,0.51,0.32,0.76,0.32,0.01,0.00
C0013N,"Gelatina, uva, em pó, diet, Ducocco,",,Alimentos para fins especiais,,0.00,13.5,18.2,9.45,,,0.00,1.95,1347,318,13.7,0.02,4.69,1263,,0.00,0.98,0.39,13.7,63.5,,,0.11,0.00,,154,0.01,8.82,0.00,,0.00,0.05,0.00,,0.07,,,0.00,,0.00
C0282C,"Pera, cozida, s/ manteiga, s/ açúcar,",,Frutas e derivados,0.23,0.00,12.7,16.1,0.31,0.08,0.00,,9.28,261,62,0.00,0.24,3.45,13.5,,0.26,6.84,,112,0.46,,,,0.00,,0.56,0.03,82.8,,,0.00,,2.09,0.00,0.09,0.00,0.12,0.12,0.00,0.00
C0008N,"Gelatina, framboesa, em pó, diet, Oetker,",,Alimentos para fins especiais,,0.00,42.7,42.8,2.09,,,0.00,2.00,1560,367,14.0,0.02,0.09,1293,,0.50,1.00,0.40,14.0,48.0,,,0.11,0.00,,158,0.01,6.66,0.00,,0.00,0.05,0.00,,0.07,,,0.00,,0.00
C0060E,"Peixe, água salgada, Manjuba, frito, c/ farinha de trigo, s/ sal,",,Pescados e Frutos do mar,,0.00,10.2,10.2,2.41,0.15,,281,763,1409,338,,3.04,,577,,22.6,46.9,0.79,319,23.5,,,0.07,0.00,,36.5,0.05,41.3,29.9,29.9,,,,,3.77,5.36,10.4,5.46,0.04,0.00
C0540F,"Carne, frango, inteiro, ensopado, salsa, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ pimenta-do-reino, c/ sal,",,Carnes e derivados,0.57,0.00,1.63,2.45,1.64,0.07,,69.2,13.1,657,157,9.16,0.53,0.82,148,,8.22,13.8,9.00,249,18.8,,,0.01,0.45,0.13,312,0.10,68.9,20.2,40.3,0.13,0.03,5.70,0.00,0.97,2.26,2.38,1.88,0.08,0.00
C0674N,"Papa de maçã, manga e cenoura, s/ açúcar,",,Alimentos para fins especiais,0.79,0.00,9.88,12.0,0.32,0.05,,0.00,10.9,205,49,18.5,0.12,2.13,17.0,,0.33,11.2,0.58,274,0.45,,,0.01,0.00,0.33,2.22,0.04,86.9,157,315,0.00,0.03,10.7,0.00,0.08,0.03,0.03,0.10,0.00,0.00
C0079H,"Bebida, café - infusão 6% - suave, c/ leite (meio a meio), ""média"", s/ açúcar,",,Bebidas,0.05,0.00,3.46,3.46,0.45,0.01,,6.19,54.6,148,35,3.19,0.04,0.00,43.8,,1.64,7.75,0.82,113,1.67,,,0.14,0.00,,32.2,0.02,92.8,24.4,24.8,0.19,,,0.00,0.19,0.48,0.06,1.01,0.00,0.00
C0246A,"Sanduíche, hambúrguer bovino grelhado (c/ pão hambúrguer), c/ maionese,",,Cereais e derivados,0.34,,30.5,31.8,2.73,0.07,,44.3,46.1,1094,261,62.1,2.76,1.33,152,,10.8,29.1,3.00,258,9.72,,,0.05,,2.57,734,0.11,44.9,0.00,0.00,1.13,0.07,3.00,0.01,2.17,3.22,2.98,4.02,0.20,0.00
C0044G,"Leite, vaca, integral, UHT (média de diferentes amostras),",,Leite e derivados,0.09,0.00,7.16,7.16,0.77,0.02,,10.5,107,274,65,5.51,,0.00,82.0,,3.04,10.0,1.52,133,2.35,,,0.24,0.00,6.94,63.8,0.04,86.7,42.6,43.6,0.51,,,1.19,0.37,0.70,0.10,1.40,0.02,0.00
C0109N,"Papa de feijão preto, macarrão e chicória, c/ caldo de frango, c/ cebola, c/ azeite de oliva, c/ sal,",,Alimentos para fins especiais,0.13,0.00,7.09,11.7,0.78,0.30,,1.20,21.6,301,72,59.6,0.84,4.66,54.4,,2.40,21.8,0.32,171,3.23,,,0.01,0.25,1.75,102,0.04,81.9,15.6,30.8,0.00,0.02,0.46,0.00,1.00,1.54,0.42,0.38,0.00,0.00
C0053K,"Chocolate, branco (média de diferentes marcas),",,Produtos açucarados,0.96,,59.2,59.2,1.50,,,21.0,384,2294,549,7.00,0.19,,176,,32.1,38.5,0.75,321,5.87,,,0.00,,,108,0.00,1.30,9.00,9.00,0.00,0.06,0.50,0.00,1.23,0.10,1.01,19.4,0.00,0.00
C0014E,"Molusco, mexilhão, Sururu, cru, Mytella falcata,",,Pescados e Frutos do mar,0.94,0.00,0.42,0.42,1.80,1.92,,48.0,31.2,443,105,50.4,83.5,0.00,236,,3.84,40.8,1.92,384,17.3,,,0.25,0.00,,343,0.19,76.7,82.3,,14.4,0.06,9.61,0.00,1.92,0.87,1.04,0.73,,0.00
C0565N,"Papa de fígado bovino e cará, c/ caldo de carne, c/ cebola e azeite de oliva, s/ sal,",,Alimentos para fins especiais,0.58,0.00,7.68,8.70,1.04,5.08,,241,5.51,568,135,115,2.48,1.02,181,,5.71,9.76,4.81,207,12.8,,,1.08,0.00,0.19,34.0,0.13,71.7,5840,5850,30.9,0.05,1.03,0.82,1.73,2.37,0.69,2.21,0.05,0.00
C0046E,"Peixe, água salgada, cação, cru, Prionace glauca,",,Pescados e Frutos do mar,,0.00,0.00,0.00,1.27,0.03,,83.3,10.3,400,94,13.4,0.32,0.00,203,,0.91,21.1,9.77,248,22.6,,,0.04,0.00,,114,,75.8,12.0,11.6,0.74,,0.00,,0.61,0.10,0.20,0.20,,0.00
C0970B,"Tomate, refogado (c/ óleo de soja, cebola e alho), s/ sal,",,Vegetais e derivados,0.69,0.00,3.75,4.55,0.61,0.08,,0.00,11.3,137,33,13.0,0.67,0.80,30.3,,1.31,9.37,0.51,222,1.05,,,0.02,0.00,0.03,234,0.04,92.5,22.8,,0.00,0.09,22.1,0.00,0.15,0.30,0.76,0.20,0.01,0.00
C0504F,"Sopa, carne bovina, c/ vegetais, s/ sal, (carne bovina (músculo), c/ cenoura, chuchu, abóbora e batata, c/ caldo de carne, c/ óleo, cebola e alho, s/ sal),",,Vegetais e derivados,1.32,0.00,2.46,3.26,0.45,0.05,,15.5,7.50,335,80,4.91,0.71,0.81,60.6,,3.73,7.63,0.79,142,8.72,,,,0.00,0.40,17.2,,83.8,67.7,134,0.34,0.03,2.02,0.07,1.71,1.18,1.22,1.05,0.06,0.00
C0069E,"Peixe, água salgada, sardinha, inteira, crua,",,Pescados e Frutos do mar,1.01,0.00,5.19,5.19,1.97,0.13,,129,170,635,151,8.02,1.36,0.00,298,,5.68,29.0,7.83,317,19.8,,,0.07,0.00,64.0,61.4,,67.4,,,7.17,,0.00,2.38,1.76,1.07,0.43,3.64,,0.00
C0680B,"Abóbora, cabotian (japonesa), c/ quiabo, refogado (c/ óleo, cebola e alho), c/ salsa, c/ sal,",,Vegetais e derivados,4.08,0.00,5.43,8.22,1.08,0.10,,0.00,45.9,200,48,27.5,0.37,2.79,37.2,,1.61,15.8,0.02,170,1.51,,,0.00,0.47,0.68,188,0.06,87.6,156,313,0.00,0.06,5.97,0.00,0.34,0.38,0.83,0.25,0.01,0.00
C0342F,"Carne, boi, contra-filé de costela, grelhada,  c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal,",,Carnes e derivados,0.23,0.00,1.03,1.53,1.24,0.13,,96.3,8.08,1076,258,9.08,2.17,0.50,178,,17.1,17.8,1.39,318,24.9,,,0.06,0.45,0.07,323,0.02,55.3,13.4,26.7,3.07,0.01,3.98,0.10,5.01,7.20,0.85,7.20,0.24,0.00
C0019A,"Aveia,  farelo, cozida, s/ tempero, Avena sativa,",,Cereais e derivados,,0.00,12.0,16.1,0.67,0.10,,0.00,14.5,303,94,8.73,1.28,4.11,173,,2.31,58.2,0.21,133,4.18,,,0.05,0.00,,1.45,0.23,76.7,0.00,0.00,0.00,0.04,0.00,0.00,0.77,0.78,0.91,0.44,,0.00
C0346F,"Carne, boi, contra-filé, s/ gordura, grelhada, c/ molho branco (farinha de trigo, manteiga e leite), c/ sal,",,Carnes e derivados,0.44,0.00,3.82,3.87,1.68,0.08,,85.1,36.0,789,187,5.06,1.99,0.05,218,,5.88,20.2,4.39,350,29.8,,,0.20,0.45,1.53,245,0.02,58.8,19.1,19.3,0.89,0.13,0.00,0.09,4.24,2.08,0.64,2.63,0.04,0.00
C0057D,"Óleo misto, c/ óleo de soja, c/ azeite de oliva,",,Gorduras e óleos,13.3,0.00,0.00,0.00,0.00,0.16,0.00,,0.00,3700,900,0.00,0.31,0.00,0.00,,100.0,0.00,0.00,0.50,0.00,,,0.00,0.00,0.00,1.00,0.00,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.01,48.3,35.4,15.3,0.25,0.00
C0055G,"Mingau, de amido de milho (maisena), c/ banana, (leite, amido de milho, c/ banana, c/ açúcar),",,Leite e derivados,0.06,7.00,25.2,26.1,0.70,0.06,,4.89,44.3,520,123,11.2,0.21,0.90,45.6,,1.40,16.9,0.57,226,1.88,,,0.10,0.00,2.20,26.6,0.01,69.9,19.3,19.6,0.14,0.06,2.69,0.00,0.24,0.42,0.10,0.84,0.00,0.00
C0219A,"Macarrão, trigo, c/ ovos, c/ molho branco (leite, manteiga e farinha de trigo), s/ sal,",,Cereais e derivados,0.32,0.00,24.0,24.7,0.36,0.04,,8.63,37.8,589,140,58.7,0.99,0.69,58.5,,2.89,3.46,1.55,64.6,3.98,,,0.08,0.00,2.99,21.9,0.04,68.0,19.5,19.8,0.11,0.01,0.00,0.00,0.36,0.68,0.79,1.18,0.04,0.00
C0033L,"Molho, salada caesar, caseiro, c/ sal, (filé de anchova, alho, molho de mostarda, molho inglês, suco de limão, vinagre de maçã, maionese, azeite de oliva, c/ sal),",,Miscelâneas,3.21,0.00,6.55,6.99,3.03,0.08,,40.4,206,1029,248,3.68,2.14,0.41,264,,19.9,22.4,3.44,261,10.6,,,0.04,0.32,25.0,844,0.31,59.2,1.14,1.49,3.65,0.04,7.70,4.76,1.17,7.03,8.05,3.20,0.05,0.00
C0774F,"Carne, frango, coração, cozida (líquido do cozimento excluído), s/ óleo, s/ sal, Gallus gallus,",,Carnes e derivados,,0.00,0.00,0.00,1.41,0.25,,151,7.04,1009,243,87.5,6.21,0.00,216,,17.6,25.3,2.71,210,20.9,,,0.45,0.00,8.04,91.1,0.25,60.0,,,8.18,,4.19,,2.94,5.98,3.23,4.65,0.09,0.00
C0010F,"Blanquet, fatiado, cozido, Sadia,",,Carnes e derivados,0.06,,3.77,3.77,3.37,,,21.3,3.53,390,92,4.16,0.49,,337,,1.01,19.0,7.43,225,17.0,,,0.15,,,995,0.04,74.9,0.00,,0.38,0.43,0.00,0.04,0.85,0.35,0.21,0.14,0.02,0.00
C0893A,"Yakisoba, c/ sal, (filé mignon bovino, peito de frango, cenoura, vagem, couve-flor, acelga, macarrão instantâneo, caldo de frango, amido de milho, molho shoyu, c/ óleo de soja, c/ óleo de gergelim, c/ sal),",,Cereais e derivados,0.40,0.00,17.1,18.2,2.71,0.06,,14.8,14.0,514,122,,0.62,1.05,82.6,,2.59,13.3,2.08,157,7.48,,,,0.47,9.79,977,0.16,69.1,30.9,61.7,,,,,0.68,0.86,0.98,0.58,0.01,0.00
C0170T,"Soja, proteína, texturizada, hidratada (c/ caldo de legumes), s/ sal,",,Leguminosas e derivados,0.04,0.00,18.3,23.1,3.79,0.01,,0.00,56.9,794,188,1.45,4.44,4.80,251,,0.36,12.7,0.38,38.1,25.4,,,0.03,0.00,0.04,269,0.00,47.3,12.2,24.4,0.00,0.03,0.28,0.00,1.31,0.08,0.16,0.05,0.00,0.00
C0306E,"Sushi California, (arroz para sushi (c/ vinagre de arroz, açúcar e sal), algo nori, surimi, abacate e gergelim),",,Pescados e Frutos do mar,0.60,0.32,18.7,23.8,2.14,0.18,,5.79,30.4,589,140,158,5.19,5.07,109,,2.77,61.7,0.69,509,7.57,,,0.21,0.13,1.73,249,0.08,63.8,232,0.62,4.20,0.05,1.31,0.00,0.71,0.94,1.10,0.56,0.00,0.00
C1009B,"Cenoura e ervilha, refogado (c/ óleo, cebola e alho), c/ salsa, c/ sal,",,Vegetais e derivados,0.83,0.00,6.42,11.0,0.96,0.20,,0.00,21.4,263,63,40.8,1.57,4.62,89.2,,1.34,19.6,1.98,175,3.94,,,,0.32,1.25,132,0.17,82.7,186,332,0.00,0.15,8.66,0.00,1.04,0.25,0.75,0.20,0.00,0.00
C0470B,"Pimentão, verde, cozido, drenado, s/ óleo, c/ sal, Capsicum annuum L.,",,Vegetais e derivados,0.67,0.00,3.19,5.02,0.76,0.07,,0.00,8.77,98,23,5.57,0.43,1.82,15.6,,0.31,6.88,,91.6,1.04,,,,0.47,0.21,127,,92.9,21.5,43.0,0.00,,68.4,0.00,0.16,0.01,0.11,0.11,,0.00
C0069R,"Sopa, carne, c/ macarrão e legumes, desidratada, Maggi,",,Alimentos industrializados,0.74,,61.0,64.0,11.7,,,0.61,130,1535,364,29.3,2.54,3.00,222,,7.40,46.9,2.15,398,11.8,,,0.44,,,4840,5.06,5.19,184,,0.49,0.20,16.2,0.00,1.56,3.29,1.93,1.85,,0.00
C0791A,"Cevada, s/ casca (pérola), cozida, s/ óleo, c/ sal,",,Cereais e derivados,0.02,0.00,22.4,28.4,1.22,0.17,,0.00,11.7,572,136,7.37,1.00,6.01,88.5,,1.32,31.6,1.75,112,5.49,,,0.05,0.47,15.1,191,0.06,63.5,1.17,2.35,0.00,0.08,0.00,0.00,0.85,0.17,0.64,0.28,,0.00
C0280A,"Sanduíche, queijo quente, pão francês, c/ queijo muçarela, c/ manteiga,",,Cereais e derivados,0.41,,30.2,31.5,2.49,0.09,,51.9,317,1475,353,78.1,2.29,1.30,237,,19.1,21.7,0.00,103,14.5,,,0.43,,11.1,601,0.20,32.4,146,150,1.00,0.32,0.00,0.02,1.86,4.73,0.56,11.0,0.80,0.00
C0023A,"Aveia, fibras, Avena sativa,",,Cereais e derivados,,0.00,41.4,57.4,2.30,0.39,,0.00,56.1,1582,377,50.3,5.23,16.0,710,,11.4,227,0.90,547,19.3,,,0.21,0.00,,3.87,1.13,9.60,0.00,0.00,0.00,0.16,0.00,0.00,3.01,3.85,4.49,2.15,,0.00
C0958B,"Salpicão, de frango, c/ sal, (peito de frango, aipo (salsão), pimentão verde, pimentão vermelho, cebola, maçã, uva passa, c/ maionese, c/ sal),",,Vegetais e derivados,0.63,0.00,4.15,4.56,1.45,0.08,,52.4,9.46,599,144,11.5,0.32,0.41,102,,7.82,13.2,1.47,148,13.9,,,,0.32,5.53,375,0.05,72.3,35.9,71.9,,,9.23,,0.39,2.07,3.98,1.33,0.01,0.00
C0658N,"Papa de carne bovina moída (patinho), fubá e espinafre, c/ caldo de carne, c/ cebola, s/ óleo, s/ sal,",,Alimentos para fins especiais,0.33,0.00,7.11,7.96,0.74,0.07,,44.5,10.4,474,113,35.0,1.59,0.85,112,,2.86,15.1,1.09,209,13.8,,,0.02,0.00,0.37,151,0.03,74.6,19.6,38.7,1.48,0.01,0.38,0.00,2.93,1.20,0.25,1.16,0.04,0.00
C0671A,"Bolo, laranja, simples, caseiro, (farinha de trigo, laranja pera, açúcar, ovo, manteiga e fermento químico),",,Cereais e derivados,0.53,24.0,45.6,46.6,0.67,0.07,,117,22.1,1194,283,66.8,2.08,1.01,82.0,,8.19,13.5,0.39,122,6.38,,,0.14,0.00,6.21,49.8,0.09,38.2,107,108,0.21,,11.9,0.55,0.63,2.41,0.56,3.94,0.20,0.00
C0231N,"Papa de fígado bovino e batata doce, c/ caldo de frango, c/ cebola e óleo de soja, c/ sal,",,Alimentos para fins especiais,0.82,0.00,9.11,10.2,1.24,5.07,,241,11.3,588,140,114,2.42,1.05,178,,5.70,9.45,5.98,200,12.6,,,1.08,0.25,0.18,134,0.12,70.3,6083,6337,30.9,0.03,11.5,0.82,1.65,1.36,1.67,2.22,0.05,0.00
C1113A,"Panqueca, c/ recheio de proteína de soja, c/ sal, (farinha de trigo, aveia em flocos, bebida vegetal à base de amêndoas, óleo de girassol, proteína de soja (hidratados com caldo de legumes), tomate, alho, cebola, pimenta do reino, cúrcuma em pó, c/ sal),",,Cereais e derivados,1.42,0.47,26.6,30.0,2.61,0.07,0.00,,74.1,868,206,29.8,3.55,3.39,160,,3.93,20.0,0.67,101,14.3,,,0.02,0.00,1.30,376,0.08,49.1,13.8,23.5,0.00,0.04,2.38,0.20,0.99,1.13,2.33,0.55,0.05,0.00
C0102K,"Banana flambada, (sorvete, banana, suco de laranja, conhaque),",,Produtos açucarados,0.03,,46.4,47.7,0.47,0.04,,6.65,34.0,990,234,6.61,0.93,1.28,21.5,,3.53,18.6,0.01,168,0.91,,,0.04,,0.26,12.0,0.02,47.4,33.2,34.9,0.04,0.02,18.8,0.00,0.15,0.63,0.05,1.48,0.08,2.80
C0450F,"Carne, boi, peito, s/ gordura, grelhada, c/ óleo, cebola e alho, s/ sal,",,Carnes e derivados,0.49,0.00,0.41,0.52,0.71,0.06,,94.6,4.63,1343,324,9.67,1.53,0.12,131,,26.5,13.9,4.31,204,21.0,,,0.28,0.00,0.00,53.0,0.00,51.3,0.00,0.00,2.88,0.01,0.24,0.50,3.71,11.2,1.07,11.3,0.69,0.00
C0142A,"Pamonha, milho verde, pré-cozido,",,Cereais e derivados,0.41,,28.3,30.7,0.61,0.03,,5.24,4.16,723,172,21.6,0.36,2.37,54.6,,4.85,15.3,,125,2.55,,,,,2.25,131,,61.3,26.5,33.7,0.00,,,0.00,0.42,1.20,2.40,0.85,0.18,0.00
C0023K,"Geleia, mocotó, natural,",,Produtos açucarados,,,24.2,24.2,0.09,,,,3.52,451,106,,0.12,0.00,,,0.07,0.75,,2.01,2.13,,,,,,42.7,0.19,73.5,,,,0.22,,,,,,,,0.00
C0203N,"Papa de feijão preto, ovo e macarrão, c/ caldo de frango, c/ cebola e azeite de oliva, s/ sal,",,Alimentos para fins especiais,0.33,0.00,6.18,9.37,0.56,0.22,,99.4,24.3,391,94,49.9,0.94,3.19,83.5,,4.65,17.7,0.24,141,5.18,,,0.07,0.00,5.34,36.0,0.05,80.3,7.63,14.9,0.25,0.02,0.27,0.49,1.00,2.46,0.64,1.08,0.01,0.00
C0551A,"Arroz com couve, c/ arroz integral, c/ sal, (arroz integral, c/ couve, c/ óleo, cebola e alho, c/ sal),",,Cereais e derivados,0.66,0.00,15.6,17.9,1.07,0.03,,0.00,60.9,428,102,6.91,0.24,2.35,43.5,,2.76,26.7,0.34,188,2.54,,,0.05,0.47,0.64,190,0.08,75.7,57.2,114,0.00,0.08,9.55,0.00,0.26,0.71,1.43,0.52,0.01,0.00
C0115K,"Olho de sogra, (leite condensado, coco ralado, gema de ovo, ameixa seca, c/açúcar cristal),",,Produtos açucarados,0.32,,59.3,61.4,1.45,0.08,,28.4,164,1352,320,7.80,0.40,2.13,230,,7.31,25.6,0.69,429,3.33,,,0.30,,0.09,78.0,0.02,26.5,84.2,,0.19,0.07,1.74,0.20,0.61,2.11,0.38,4.47,0.00,0.00
C0160H,"Bebida alcóolica, Amarula, caseira, (leite condensado, creme de leite, conhaque, leite, extrato de baunilha e chocolate em pó),",,Bebidas,0.19,,22.2,22.9,0.94,0.17,,18.6,176,993,238,4.85,0.41,0.76,131,,8.53,44.3,2.42,280,3.60,,,0.18,0.00,6.83,89.2,0.15,55.9,55.5,56.8,0.20,0.30,5.18,0.30,1.53,2.04,0.34,4.32,0.22,8.04
C0113F,"Carne, frango, peito, s/ pele, assada, s/ óleo, s/ sal, Gallus gallus,",,Carnes e derivados,0.28,0.00,0.00,0.00,0.98,0.02,,88.5,6.44,645,153,3.33,0.34,0.00,224,,3.16,13.8,7.60,231,31.1,,,,0.00,,36.2,0.10,64.8,,,0.26,,0.00,0.10,0.95,1.10,0.60,1.10,0.05,0.00
C0166E,"Peixe, água salgada, pescada, ensopado (c/ cebola, tomate e pimentão), c/ óleo, c/ sal, Macrodon oncylodon,",,Pescados e Frutos do mar,1.58,0.00,0.16,0.35,1.54,0.03,,68.7,17.0,654,157,15.9,0.28,0.51,157,,9.30,27.3,3.13,325,18.0,,,0.05,0.45,35.4,262,0.02,70.8,55.8,65.9,2.28,0.01,9.35,4.08,0.32,3.61,3.34,1.72,0.04,0.00
C0549N,"Papa de carne bovina (músculo), feijão preto, batata, abóbora (jerimum) e cenoura, c/ caldo de carne, c/ cebola, s/ óleo, s/ sal,",,Alimentos para fins especiais,1.29,0.00,3.41,5.54,0.59,0.14,,17.3,10.7,339,81,17.7,1.07,2.14,78.6,,2.23,14.0,0.80,198,10.7,,,,0.00,0.65,20.5,0.03,81.0,72.9,144,0.42,0.03,1.33,0.09,2.37,0.90,0.12,0.92,0.06,0.00
C0147A,"Pão, trigo, leite, industrializado (média de diferentes marcas),",,Cereais e derivados,0.12,,50.9,53.9,2.01,0.72,,12.0,75.3,1199,284,135,2.51,2.97,82.3,,4.63,21.0,3.03,90.1,8.15,,,0.20,,5.50,199,0.33,31.3,2.00,,0.10,0.05,1.05,0.00,1.44,1.40,0.61,0.87,0.44,0.00
C0619N,"Papa de carne bovina moída (patinho), arroz branco e brócolis, c/ caldo de frango, c/ cebola e óleo de soja, s/ sal,",,Alimentos para fins especiais,0.54,0.00,6.38,7.43,0.76,0.10,,42.2,15.9,522,124,22.6,1.22,1.05,111,,4.88,17.9,1.08,200,13.2,,,0.02,0.00,0.51,58.8,0.02,73.7,45.5,90.5,1.39,0.01,9.78,0.00,2.85,1.57,1.50,1.44,0.07,0.00
C0043T,"Soja, extrato, bebida, natural (média de diferentes amostras), Glycine max L.,",,Leguminosas e derivados,0.00,,4.06,4.25,0.48,0.08,,,16.5,176,42,27.3,0.43,0.18,52.9,,1.61,15.5,,121,2.73,,,,0.00,,56.5,,90.9,0.00,0.00,0.00,,,0.00,0.28,0.30,0.60,0.20,0.01,
C0081E,"Peixe, água salgada, tainha, filé, preparado em micro-ondas, s/ óleo, s/ sal, Mugil cephalus,",,Pescados e Frutos do mar,,0.00,1.33,1.33,1.89,0.20,,73.9,21.1,778,185,6.80,0.96,0.00,165,,5.70,22.4,4.28,311,32.0,,,0.07,0.00,,48.3,0.07,59.1,49.3,,0.17,0.33,0.82,,0.60,1.62,1.08,1.68,,0.00
C0280F,"Carne, boi, quarto traseiro, s/ gordura, grelhada, c/ óleo, c/ sal,",,Carnes e derivados,0.83,0.00,0.00,0.00,1.60,0.12,,93.8,4.87,1059,253,0.00,2.60,0.00,244,,14.4,22.4,3.15,340,30.5,,,0.10,0.45,0.00,237,0.02,53.5,0.00,0.00,0.98,0.05,0.00,0.26,5.46,6.02,2.95,6.05,0.26,0.00
C0984A,"Ravioli verde, c/ recheio de muçarela de búfala e manjericão, c/ molho branco, c/ sal, (farinha de trigo, espinafre, queijo muçarela de búfala, manjericão, c/ molho branco (farinha de trigo, manteiga e leite), c/ sal),",,Cereais e derivados,0.18,0.00,23.7,24.9,1.74,0.06,,24.0,51.6,686,163,64.5,1.45,1.24,80.7,,4.48,8.05,3.02,79.0,6.38,,,0.07,,4.40,517,0.04,62.5,43.9,51.3,0.26,0.00,0.05,0.34,0.62,1.20,0.16,2.56,0.10,0.00
C0043A,"Biscoito, doce, recheado, sabores diversos (média de diferentes sabores),",,Cereais e derivados,2.56,,68.9,71.0,1.12,0.20,,0.48,31.5,2024,482,109,3.19,2.04,138,,19.9,37.5,2.01,172,5.95,,,0.41,,5.25,234,0.61,2.09,0.00,0.00,0.00,0.33,1.76,0.00,0.86,6.55,1.70,6.15,4.37,0.00
C0927A,"Pão, arepa, c/ fubá e milho verde, c/ queijo muçarela, (fubá, leite, ovo, manteiga, queijo muçarela, milho verde, cheiro verde, c/ óleo de soja, c/ sal),",,Cereais e derivados,0.36,0.00,43.1,45.8,1.27,0.07,,13.0,86.8,1175,279,5.18,2.08,2.68,120,,8.29,33.8,0.93,133,6.71,,,0.10,,4.82,230,0.14,37.9,59.3,74.0,0.26,0.01,0.51,0.02,1.01,2.28,2.63,3.22,0.11,0.00
